Fecha;Combinación Ganadora.1;Combinación Ganadora.2;Combinación Ganadora.3;Combinación Ganadora.4;Combinación Ganadora.5;Super Balota
22/04/2017;15;28;36;37;41;10
26/04/2017;1;2;25;31;33;14
29/04/2017;6;19;25;28;36;1
3/05/2017;5;6;7;12;37;6
6/05/2017;1;20;36;39;43;10
10/05/2017;35;19;12;38;22;1
13/05/2017;11;19;37;27;28;8
17/05/2017;15;21;26;28;36;3
20/05/2017;1;11;28;31;41;9
24/05/2017;7;22;29;32;41;14
27/05/2017;8;12;20;36;40;1
31/05/2017;12;13;25;31;42;16
3/06/2017;3;26;33;34;38;16
7/06/2017;3;20;33;34;40;14
10/06/2017;13;20;26;29;40;7
14/06/2017;2;9;12;34;40;7
17/06/2017;9;20;24;31;33;16
21/06/2017;4;6;14;17;29;5
24/06/2017;3;4;9;20;32;11
28/06/2017;18;22;32;37;39;2
1/07/2017;10;16;18;35;40;6
5/07/2017;20;22;25;37;43;8
8/07/2017;1;7;12;19;21;8
12/07/2017;7;23;30;33;36;4
15/07/2017;7;23;24;34;39;4
19/07/2017;14;15;20;25;40;12
22/07/2017;6;9;15;37;42;16
26/07/2017;1;27;31;34;36;11
29/07/2017;3;13;14;17;23;2
2/08/2017;1;22;31;32;37;16
5/08/2017;14;25;28;37;41;13
9/08/2017;4;5;9;13;40;15
12/08/2017;15;16;18;19;37;11
16/08/2017;6;14;32;34;42;10
19/08/2017;1;5;6;13;26;6
23/08/2017;13;15;18;26;43;3
26/08/2017;1;6;12;18;36;9
30/08/2017;4;24;28;36;39;5
2/09/2017;1;4;13;23;33;9
6/09/2017;8;16;19;35;41;13
9/09/2017;1;2;20;31;43;8
13/09/2017;7;11;23;41;43;11
16/09/2017;10;17;24;37;42;6
20/09/2017;10;16;19;23;34;11
23/09/2017;4;15;22;23;38;11
27/09/2017;1;10;28;35;41;4
30/09/2017;3;10;13;21;38;10
4/10/2017;24;31;32;33;34;6
7/10/2017;19;22;29;38;39;2
11/10/2017;2;10;21;23;35;9
14/10/2017;18;27;38;40;41;16
18/10/2017;17;26;27;28;40;7
21/10/2017;2;4;9;15;24;11
25/10/2017;11;21;31;32;39;1
28/10/2017;13;20;28;35;40;3
1/11/2017;22;24;28;34;42;8
4/11/2017;15;20;25;29;43;10
8/11/2017;2;4;10;17;37;6
11/11/2017;1;18;22;30;39;1
15/11/2017;11;18;23;32;40;2
18/11/2017;8;12;22;29;39;11
22/11/2017;9;12;18;37;41;13
25/11/2017;15;21;25;26;31;4
29/11/2017;2;5;7;9;28;13
2/12/2017;2;14;21;27;28;1
6/12/2017;3;23;28;29;32;2
9/12/2017;11;15;23;24;25;7
13/12/2017;11;23;33;36;42;4
16/12/2017;17;23;25;29;31;6
20/12/2017;8;14;20;22;42;7
23/12/2017;6;8;13;29;31;13
27/12/2017;2;13;14;26;42;8
30/12/2017;14;30;35;37;40;14
3/01/2018;1;2;33;34;41;10
6/01/2018;1;2;4;5;13;10
10/01/2018;1;5;9;29;42;8
13/01/2018;7;10;24;31;43;5
17/01/2018;6;17;23;27;32;7
20/01/2018;2;6;16;23;43;1
24/01/2018;6;11;12;17;40;14
27/01/2018;12;13;15;18;31;1
31/01/2018;12;19;27;28;41;4
3/02/2018;1;4;14;21;42;16
7/02/2018;4;23;27;29;34;12
10/02/2018;5;6;14;16;35;9
14/02/2018;9;12;18;32;38;7
17/02/2018;10;23;25;26;33;1
21/02/2018;18;34;37;39;41;2
24/02/2018;5;6;9;39;42;16
28/02/2018;7;16;18;37;40;8
3/03/2018;15;28;31;32;35;12
7/03/2018;8;23;24;32;36;13
10/03/2018;4;17;27;28;42;4
14/03/2018;6;20;25;27;43;4
17/03/2018;7;17;18;30;33;3
21/03/2018;10;14;18;20;33;6
24/03/2018;17;26;28;29;42;11
28/03/2018;3;11;18;24;37;11
31/03/2018;9;15;19;27;30;2
4/04/2018;4;7;10;36;41;4
7/04/2018;13;15;24;33;40;9
11/04/2018;7;20;36;42;43;7
14/04/2018;1;12;28;30;33;3
18/04/2018;3;23;31;35;40;15
21/04/2018;10;12;16;17;27;6
25/04/2018;14;27;34;37;43;13
28/04/2018;10;18;19;36;43;13
2/05/2018;7;37;38;39;41;3
5/05/2018;5;6;14;26;31;11
9/05/2018;11;12;39;40;43;1
12/05/2018;6;10;23;31;34;3
16/05/2018;13;16;28;34;37;1
17/05/2018;13;16;28;34;37;1
19/05/2018;12;13;23;35;39;16
23/05/2018;8;11;17;23;39;7
26/05/2018;9;12;16;18;34;11
30/05/2018;6;15;19;27;42;16
2/06/2018;3;16;19;20;23;8
6/06/2018;1;7;12;26;43;14
9/06/2018;1;4;18;21;42;2
13/06/2018;2;8;20;25;27;4
16/06/2018;3;20;22;24;36;6
20/06/2018;7;8;18;25;43;6
23/06/2018;11;12;25;33;39;7
27/06/2018;16;20;29;33;40;3
30/06/2018;3;16;18;30;34;16
4/07/2018;5;7;20;34;37;4
7/07/2018;8;11;22;35;41;10
11/07/2018;6;17;31;32;41;13
14/07/2018;4;13;14;16;33;5
18/07/2018;21;32;33;34;37;11
21/07/2018;12;25;32;33;41;10
25/07/2018;2;13;25;36;43;15
28/07/2018;2;11;26;33;40;15
1/08/2018;2;5;9;11;42;9
4/08/2018;6;16;20;24;30;11
8/08/2018;5;33;34;41;43;7
11/08/2018;2;3;22;28;37;8
15/08/2018;1;12;20;39;41;13
18/08/2018;6;12;16;21;33;5
22/08/2018;10;12;34;35;36;9
25/08/2018;3;22;26;29;36;7
29/08/2018;17;27;37;38;40;3
1/09/2018;3;8;10;15;39;9
5/09/2018;4;22;26;29;36;13
8/09/2018;8;9;19;23;38;14
12/09/2018;3;18;34;42;43;4
15/09/2018;2;5;9;34;42;13
19/09/2018;8;24;26;33;35;6
22/09/2018;20;23;35;36;41;14
26/09/2018;2;4;6;7;13;2
29/09/2018;10;14;20;21;41;11
3/10/2018;5;18;19;25;41;11
6/10/2018;8;16;25;36;37;12
10/10/2018;19;26;33;34;42;8
13/10/2018;11;21;27;41;43;12
17/10/2018;5;13;14;35;42;11
20/10/2018;19;20;34;38;39;3
24/10/2018;1;7;11;16;23;3
27/10/2018;6;20;33;36;41;9
31/10/2018;8;17;21;25;40;16
3/11/2018;9;14;28;33;43;1
7/11/2018;8;20;32;36;40;8
10/11/2018;5;23;24;29;43;2
14/11/2018;11;20;21;23;32;12
17/11/2018;10;12;13;32;38;2
21/11/2018;1;15;19;21;42;8
24/11/2018;5;13;22;34;43;2
28/11/2018;2;4;16;30;40;3
1/12/2018;3;6;23;25;38;1
5/12/2018;1;14;15;18;25;13
8/12/2018;14;20;24;25;39;7
12/12/2018;4;17;36;37;43;11
15/12/2018;4;13;25;31;33;5
19/12/2018;15;27;28;41;42;4
22/12/2018;3;7;11;39;41;2
26/12/2018;9;13;31;33;41;3
29/12/2018;10;14;29;30;42;2
2/01/2019;9;14;25;26;37;7
5/01/2019;10;14;19;39;41;1
9/01/2019;5;20;27;30;38;16
12/01/2019;2;19;22;28;32;11
16/01/2019;6;13;15;26;31;3
19/01/2019;8;15;28;38;42;7
23/01/2019;7;9;16;24;31;3
26/01/2019;3;7;11;19;25;3
30/01/2019;16;18;19;21;38;7
2/02/2019;16;17;21;22;43;3
6/02/2019;1;10;23;38;43;7
9/02/2019;3;5;30;37;39;12
13/02/2019;1;5;6;8;27;14
16/02/2019;19;25;28;31;40;11
20/02/2019;3;10;32;40;42;15
23/02/2019;3;7;14;19;22;4
27/02/2019;6;10;12;18;39;7
2/03/2019;6;22;25;28;40;5
6/03/2019;2;4;12;18;35;7
9/03/2019;24;29;34;35;40;13
13/03/2019;6;8;13;14;37;6
16/03/2019;5;16;26;32;36;3
20/03/2019;6;22;33;36;41;13
23/03/2019;18;20;21;35;43;5
27/03/2019;3;15;20;23;25;11
30/03/2019;6;17;24;39;43;16
3/04/2019;3;4;22;40;41;14
6/04/2019;20;29;32;34;37;6
10/04/2019;15;18;24;34;39;4
13/04/2019;6;7;8;27;34;14
17/04/2019;3;4;31;34;43;14
20/04/2019;10;17;24;29;43;14
24/04/2019;4;8;32;34;40;4
27/04/2019;1;13;32;37;43;10
1/05/2019;1;4;8;19;27;5
4/05/2019;4;11;12;16;26;2
8/05/2019;1;4;21;30;43;15
11/05/2019;3;11;27;39;41;4
15/05/2019;3;17;25;39;42;4
18/05/2019;3;4;20;25;37;12
22/05/2019;9;16;20;28;37;5
25/05/2019;2;10;14;34;40;14
26/05/2019;2;10;14;34;40;14
29/05/2019;1;2;22;29;42;16
1/06/2019;1;3;17;23;32;16
5/06/2019;1;4;8;22;37;13
8/06/2019;10;25;29;35;37;5
12/06/2019;3;8;25;28;40;2
15/06/2019;10;14;27;35;41;12
19/06/2019;4;10;20;32;33;15
22/06/2019;15;16;24;26;32;10
26/06/2019;6;12;15;26;35;7
29/06/2019;2;12;16;26;30;2
3/07/2019;1;2;3;10;31;1
6/07/2019;1;8;21;34;35;10
10/07/2019;9;12;31;33;43;11
13/07/2019;2;18;29;37;39;13
17/07/2019;6;12;14;15;38;10
20/07/2019;10;11;15;31;38;5
24/07/2019;3;12;24;25;26;12
27/07/2019;9;13;18;19;33;9
31/07/2019;10;20;25;28;30;3
3/08/2019;2;11;33;36;38;11
7/08/2019;6;27;32;40;42;1
10/08/2019;6;29;34;41;42;16
14/08/2019;7;22;25;36;37;3
17/08/2019;10;12;25;27;41;3
21/08/2019;6;8;13;28;29;8
24/08/2019;4;8;12;17;35;12
28/08/2019;11;18;29;35;37;6
31/08/2019;17;18;33;41;42;8
4/09/2019;2;11;18;23;43;14
7/09/2019;11;14;20;30;34;7
11/09/2019;6;19;23;25;41;7
14/09/2019;1;19;31;37;39;11
18/09/2019;18;23;28;33;35;12
21/09/2019;21;23;26;37;43;11
25/09/2019;4;11;14;16;36;15
28/09/2019;1;9;27;29;35;13
2/10/2019;3;10;20;30;39;11
5/10/2019;19;23;26;30;36;11
9/10/2019;4;9;10;35;40;11
12/10/2019;2;8;9;12;39;13
16/10/2019;5;13;14;26;31;15
19/10/2019;4;8;19;20;35;9
23/10/2019;12;19;20;29;43;1
26/10/2019;2;11;24;28;39;3
30/10/2019;3;10;16;25;41;8
2/11/2019;2;3;4;12;16;10
6/11/2019;7;16;19;20;37;2
9/11/2019;2;10;16;23;25;11
13/11/2019;8;11;13;18;27;12
16/11/2019;3;7;23;30;35;5
20/11/2019;2;14;16;17;31;2
23/11/2019;17;18;20;27;29;11
27/11/2019;11;19;29;36;40;7
30/11/2019;2;3;18;21;36;13
4/12/2019;10;15;16;29;39;16
7/12/2019;12;15;16;38;39;10
11/12/2019;4;13;24;39;41;1
14/12/2019;11;21;33;39;43;8
18/12/2019;8;19;22;25;38;2
21/12/2019;8;14;17;23;37;13
25/12/2019;21;30;35;36;41;2
28/12/2019;2;9;17;27;42;11
1/01/2020;24;26;35;36;41;9
4/01/2020;4;9;15;24;29;7
6/01/2020;6;29;37;39;43;13
8/01/2020;10;11;15;28;35;11
11/01/2020;1;4;29;32;33;2
15/01/2020;16;28;37;42;43;9
18/01/2020;2;8;9;25;33;12
22/01/2020;1;7;10;25;27;2
25/01/2020;12;22;30;31;34;7
29/01/2020;17;21;32;36;37;3
1/02/2020;1;18;19;34;40;2
5/02/2020;6;14;25;29;42;13
8/02/2020;4;12;15;33;42;3
12/02/2020;10;15;20;32;41;14
15/02/2020;5;8;10;13;20;8
19/02/2020;1;14;18;22;43;6
22/02/2020;19;20;24;34;43;5
26/02/2020;5;8;12;17;43;9
